team,number,name
読売ジャイアンツ,12,デラロサ
読売ジャイアンツ,13,戸郷　翔征
読売ジャイアンツ,15,澤村　拓一
読売ジャイアンツ,17,大竹　寛
読売ジャイアンツ,18,菅野　智之
読売ジャイアンツ,20,サンチェス
読売ジャイアンツ,21,岩隈　久志
読売ジャイアンツ,23,野上　亮磨
読売ジャイアンツ,26,髙橋　優貴
読売ジャイアンツ,28,田口　麗斗
読売ジャイアンツ,30,鍵谷　陽平
読売ジャイアンツ,31,畠　世周
読売ジャイアンツ,32,堀田　賢慎
読売ジャイアンツ,33,太田　龍
読売ジャイアンツ,35,桜井　俊貴
読売ジャイアンツ,40,古川　侑利
読売ジャイアンツ,41,中川　皓太
読売ジャイアンツ,42,メルセデス
読売ジャイアンツ,45,今村　信貴
読売ジャイアンツ,46,鍬原　拓也
読売ジャイアンツ,47,藤岡　貴裕
読売ジャイアンツ,49,ビエイラ
読売ジャイアンツ,50,戸根　千明
読売ジャイアンツ,53,髙田　萌生
読売ジャイアンツ,54,直江　大輔
読売ジャイアンツ,57,高木　京介
読売ジャイアンツ,58,宮國　椋丞
読売ジャイアンツ,62,横川　凱
読売ジャイアンツ,63,田原　誠次
読売ジャイアンツ,64,大江　竜聖
読売ジャイアンツ,68,池田　駿
読売ジャイアンツ,91,井上　温大
読売ジャイアンツ,95,堀岡　隼人
読売ジャイアンツ,96,ディプラン
読売ジャイアンツ,22,小林　誠司
読売ジャイアンツ,24,大城　卓三
読売ジャイアンツ,27,炭谷　銀仁朗
読売ジャイアンツ,38,岸田　行倫
読売ジャイアンツ,67,山瀬　慎之助
読売ジャイアンツ,69,田中　貴也
読売ジャイアンツ,00,吉川　大幾
読売ジャイアンツ,0,増田　大輝
読売ジャイアンツ,5,中島　宏之
読売ジャイアンツ,6,坂本　勇人
読売ジャイアンツ,25,岡本　和真
読売ジャイアンツ,29,吉川　尚輝
読売ジャイアンツ,37,若林　晃弘
読売ジャイアンツ,51,田中　俊太
読売ジャイアンツ,52,北村　拓己
読売ジャイアンツ,56,山本　泰寛
読売ジャイアンツ,60,菊田　拡和
読売ジャイアンツ,61,増田　陸
読売ジャイアンツ,65,松井　義弥
読売ジャイアンツ,93,湯浅　大
読売ジャイアンツ,2,陽　岱鋼
読売ジャイアンツ,8,丸　佳浩
読売ジャイアンツ,9,亀井　善行
読売ジャイアンツ,36,石川　慎吾
読売ジャイアンツ,39,立岡　宗一郎
読売ジャイアンツ,43,重信　慎之介
読売ジャイアンツ,44,モタ
読売ジャイアンツ,59,松原　聖弥
読売ジャイアンツ,66,村上　海斗
読売ジャイアンツ,88,パーラ
読売ジャイアンツ,94,加藤　脩平
読売ジャイアンツ,97,伊藤　海斗
読売ジャイアンツ,99,山下　航汰
読売ジャイアンツ,003,山川　和大
読売ジャイアンツ,011,髙井　俊
読売ジャイアンツ,012,平井　快青
読売ジャイアンツ,013,谷岡　竜平
読売ジャイアンツ,015,巽　大介
読売ジャイアンツ,016,沼田　翔平
読売ジャイアンツ,017,山上　信吾
読売ジャイアンツ,018,田中　豊樹
読売ジャイアンツ,019,田中　優大
読売ジャイアンツ,020,橋本　篤郎
読売ジャイアンツ,023,與那原　大剛
読売ジャイアンツ,025,ラモス
読売ジャイアンツ,005,広畑　塁
読売ジャイアンツ,007,小山　翔平
読売ジャイアンツ,010,高山　竜太朗
読売ジャイアンツ,001,比嘉　賢伸
読売ジャイアンツ,002,平間　隼人
読売ジャイアンツ,008,折下　光輝
読売ジャイアンツ,021,黒田　響生
読売ジャイアンツ,026,ウレーニャ
読売ジャイアンツ,004,笠井　駿
読売ジャイアンツ,006,加藤　壮太
読売ジャイアンツ,009,八百板　卓丸
読売ジャイアンツ,022,荒井　颯太
横浜DeNAベイスターズ,11,東　克樹
横浜DeNAベイスターズ,12,阪口　皓亮
横浜DeNAベイスターズ,13,伊勢　大夢
横浜DeNAベイスターズ,14,石田　健大
横浜DeNAベイスターズ,15,井納　翔一
横浜DeNAベイスターズ,16,大貫　晋一
横浜DeNAベイスターズ,17,三嶋　一輝
横浜DeNAベイスターズ,19,山﨑　康晃
横浜DeNAベイスターズ,20,坂本　裕哉
横浜DeNAベイスターズ,21,今永　昇太
横浜DeNAベイスターズ,24,齋藤　俊介
横浜DeNAベイスターズ,26,濵口　遥大
横浜DeNAベイスターズ,27,上茶谷　大河
横浜DeNAベイスターズ,28,勝又　温史
横浜DeNAベイスターズ,30,飯塚　悟史
横浜DeNAベイスターズ,34,平田　真吾
横浜DeNAベイスターズ,35,三上　朋也
